method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
K-Means,0.0,0,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008143424987792969,"[53, 50, 47]",iris
K-Means,0.0,1,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009177207946777344,"[50, 53, 47]",iris
K-Means,0.0,2,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009023189544677734,"[53, 50, 47]",iris
K-Means,0.0,3,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008825302124023438,"[53, 50, 47]",iris
K-Means,0.0,4,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007258415222167969,"[47, 50, 53]",iris
K-Means,0.0,5,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008316993713378906,"[50, 47, 53]",iris
K-Means,0.0,6,0.9956203048843116,4.898979485566356,1.2727272727272727,0.46214947389312017,0.5923326221845838,0.008944034576416016,"[56, 50, 44]",iris
K-Means,0.0,7,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008865118026733398,"[50, 53, 47]",iris
K-Means,0.0,8,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008798599243164062,"[53, 50, 47]",iris
K-Means,0.0,9,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008242130279541016,"[50, 53, 47]",iris
K-Means,0.0,10,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007185220718383789,"[47, 50, 53]",iris
K-Means,0.0,11,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007188558578491211,"[47, 50, 53]",iris
K-Means,0.0,12,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009361505508422852,"[50, 53, 47]",iris
K-Means,0.0,13,0.996960792020675,4.08248290463863,1.2222222222222223,0.4608959832660513,0.6011286543750637,0.007879972457885742,"[50, 55, 45]",iris
K-Means,0.0,14,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.0071446895599365234,"[50, 47, 53]",iris
K-Means,0.0,15,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008063554763793945,"[50, 47, 53]",iris
K-Means,0.0,16,0.9995144095372329,1.632993161855452,1.0833333333333333,0.45840087099074767,0.6100728505285608,0.00803685188293457,"[48, 50, 52]",iris
K-Means,0.0,17,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008229732513427734,"[50, 47, 53]",iris
K-Means,0.0,18,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007370710372924805,"[53, 50, 47]",iris
K-Means,0.0,19,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007684946060180664,"[47, 50, 53]",iris
K-Means,0.0,20,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.00851893424987793,"[50, 47, 53]",iris
K-Means,0.0,21,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009948492050170898,"[47, 50, 53]",iris
K-Means,0.0,22,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009766817092895508,"[50, 47, 53]",iris
K-Means,0.0,23,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007157325744628906,"[47, 50, 53]",iris
K-Means,0.0,24,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009109735488891602,"[53, 50, 47]",iris
K-Means,0.0,25,0.9956203048843116,4.898979485566356,1.2727272727272727,0.46214947389312017,0.5923326221845838,0.007880926132202148,"[44, 50, 56]",iris
K-Means,0.0,26,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007739543914794922,"[53, 47, 50]",iris
K-Means,0.0,27,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009114980697631836,"[50, 53, 47]",iris
K-Means,0.0,28,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008737802505493164,"[53, 47, 50]",iris
K-Means,0.0,29,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007021427154541016,"[53, 50, 47]",iris
BKM,0.0,0,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0032608509063720703,"[50, 50, 50]",iris
BKM,0.0,1,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0031375885009765625,"[50, 50, 50]",iris
BKM,0.0,2,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.005113363265991211,"[50, 50, 50]",iris
BKM,0.0,3,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0034475326538085938,"[50, 50, 50]",iris
BKM,0.0,4,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.002837657928466797,"[50, 50, 50]",iris
BKM,0.0,5,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.002435922622680664,"[50, 50, 50]",iris
BKM,0.0,6,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.002828836441040039,"[50, 50, 50]",iris
BKM,0.0,7,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.002894878387451172,"[50, 50, 50]",iris
BKM,0.0,8,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.002660036087036133,"[50, 50, 50]",iris
BKM,0.0,9,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.002412080764770508,"[50, 50, 50]",iris
BKM,0.0,10,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0028755664825439453,"[50, 50, 50]",iris
BKM,0.0,11,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0034873485565185547,"[50, 50, 50]",iris
BKM,0.0,12,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0034856796264648438,"[50, 50, 50]",iris
BKM,0.0,13,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0028383731842041016,"[50, 50, 50]",iris
BKM,0.0,14,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0027208328247070312,"[50, 50, 50]",iris
BKM,0.0,15,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0034122467041015625,"[50, 50, 50]",iris
BKM,0.0,16,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.004151821136474609,"[50, 50, 50]",iris
BKM,0.0,17,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.003988504409790039,"[50, 50, 50]",iris
BKM,0.0,18,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.003738880157470703,"[50, 50, 50]",iris
BKM,0.0,19,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0034017562866210938,"[50, 50, 50]",iris
BKM,0.0,20,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0033991336822509766,"[50, 50, 50]",iris
BKM,0.0,21,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0026726722717285156,"[50, 50, 50]",iris
BKM,0.0,22,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.003390789031982422,"[50, 50, 50]",iris
BKM,0.0,23,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0027680397033691406,"[50, 50, 50]",iris
BKM,0.0,24,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.0031576156616210938,"[50, 50, 50]",iris
BKM,0.0,25,0.9999999999972693,0.0,1.0,0.4559706664875343,0.6302367346938775,0.0030007362365722656,"[50, 50, 50]",iris
BKM,0.0,26,0.9999999999972693,0.0,1.0,0.4563051800280299,0.6302367346938775,0.004564523696899414,"[50, 50, 50]",iris
