,,,h_norm,h_norm,silhouette,silhouette,time,time,ari,ari
,,,mean,std,mean,std,mean,std,mean,std
dataset,method,lambda,,,,,,,,
heart_disease,BKM,0.0,1.0,0.0,0.1574,0.0001,0.0076,0.0027,0.3715,0.0096
heart_disease,ER-K-Means,0.5,0.9615,0.0109,0.171,0.002,0.0044,0.0016,0.4244,0.0327
heart_disease,ER-K-Means,1.0,0.9613,0.0107,0.171,0.002,0.0044,0.0018,0.425,0.0313
heart_disease,ER-K-Means,2.0,0.9608,0.0107,0.1711,0.002,0.0043,0.0015,0.4231,0.0312
heart_disease,GMM-Dirichlet,0.0,0.7056,0.2815,-0.0642,0.3733,0.2062,0.0238,0.0918,0.0366
heart_disease,K-Means,0.0,0.9563,0.0007,0.1719,0.0002,0.0368,0.0322,0.4514,0.0025
iris,BKM,0.0,1.0,0.0,0.4561,0.0002,0.0034,0.0007,0.6302,0.0
iris,ER-K-Means,0.5,0.9691,0.0732,0.4628,0.0105,0.0044,0.0009,0.5937,0.0631
iris,ER-K-Means,1.0,0.9691,0.0732,0.4628,0.0105,0.0043,0.0011,0.5937,0.0631
iris,ER-K-Means,2.0,0.969,0.0732,0.4629,0.0105,0.0044,0.0012,0.5927,0.0629
iris,GMM-Dirichlet,0.0,0.9999,0.0,0.4557,0.0,0.0732,0.0115,0.641,0.0
iris,K-Means,0.0,0.9986,0.0009,0.4592,0.0009,0.0083,0.0008,0.6173,0.0078
syn_2c_imbalance_95,BKM,0.0,1.0,0.0,0.3867,0.0016,0.0115,0.0037,0.005,0.0017
syn_2c_imbalance_95,ER-K-Means,0.5,0.857,0.2902,0.4486,0.1303,0.006,0.003,0.2029,0.4054
syn_2c_imbalance_95,ER-K-Means,1.0,0.857,0.2902,0.4486,0.1303,0.0057,0.0027,0.2029,0.4054
syn_2c_imbalance_95,ER-K-Means,2.0,0.857,0.2902,0.4486,0.1303,0.006,0.0029,0.2029,0.4054
syn_2c_imbalance_95,GMM-Dirichlet,0.0,0.2864,0.0,0.7049,0.0,0.1952,0.0408,1.0,0.0
syn_2c_imbalance_95,K-Means,0.0,0.3102,0.1303,0.6943,0.0585,0.0474,0.0327,0.9668,0.1816
syn_3c_imbalance_60,BKM,0.0,1.0,0.0,0.32,0.0,0.0139,0.0026,0.3334,0.0
syn_3c_imbalance_60,ER-K-Means,0.5,0.8555,0.0518,0.808,0.0619,0.0031,0.0011,0.9833,0.0915
syn_3c_imbalance_60,ER-K-Means,1.0,0.8555,0.0518,0.808,0.0619,0.0029,0.001,0.9833,0.0915
syn_3c_imbalance_60,ER-K-Means,2.0,0.8555,0.0518,0.808,0.0619,0.0031,0.0011,0.9833,0.0915
syn_3c_imbalance_60,GMM-Dirichlet,0.0,0.865,0.0,0.8193,0.0,0.0622,0.0256,1.0,0.0
syn_3c_imbalance_60,K-Means,0.0,0.865,0.0,0.8193,0.0,0.0467,0.0349,1.0,0.0
syn_3c_imbalance_70,BKM,0.0,1.0,0.0,0.1875,0.0236,0.0139,0.0018,0.1816,0.0326
syn_3c_imbalance_70,ER-K-Means,0.5,0.7275,0.0676,0.7976,0.0677,0.0032,0.0011,0.9695,0.1161
syn_3c_imbalance_70,ER-K-Means,1.0,0.7275,0.0676,0.7976,0.0677,0.0033,0.001,0.9695,0.1161
syn_3c_imbalance_70,ER-K-Means,2.0,0.7275,0.0676,0.7976,0.0677,0.004,0.0017,0.9695,0.1161
syn_3c_imbalance_70,GMM-Dirichlet,0.0,0.7453,0.0,0.8154,0.0,0.0601,0.0263,1.0,0.0
syn_3c_imbalance_70,K-Means,0.0,0.7453,0.0,0.8154,0.0,0.0364,0.0288,1.0,0.0
syn_3c_imbalance_80,BKM,0.0,1.0,0.0,0.1054,0.033,0.0162,0.0032,0.0769,0.0187
syn_3c_imbalance_80,ER-K-Means,0.5,0.5943,0.0691,0.7969,0.0829,0.0038,0.0014,0.9792,0.114
syn_3c_imbalance_80,ER-K-Means,1.0,0.5943,0.0691,0.7969,0.0829,0.0038,0.0013,0.9792,0.114
syn_3c_imbalance_80,ER-K-Means,2.0,0.5943,0.0691,0.7969,0.0829,0.004,0.0014,0.9792,0.114
syn_3c_imbalance_80,GMM-Dirichlet,0.0,0.5817,0.0,0.812,0.0,0.0607,0.0269,1.0,0.0
syn_3c_imbalance_80,K-Means,0.0,0.5817,0.0,0.812,0.0,0.0415,0.0339,1.0,0.0
syn_3c_imbalance_90,BKM,0.0,1.0,0.0,0.1313,0.0392,0.0196,0.0107,0.0215,0.008
syn_3c_imbalance_90,ER-K-Means,0.5,0.3758,0.0921,0.7927,0.0773,0.0051,0.0017,0.9753,0.1353
syn_3c_imbalance_90,ER-K-Means,1.0,0.3758,0.0921,0.7927,0.0773,0.0052,0.0019,0.9753,0.1353
syn_3c_imbalance_90,ER-K-Means,2.0,0.3758,0.0921,0.7927,0.0773,0.0051,0.0017,0.9753,0.1353
syn_3c_imbalance_90,GMM-Dirichlet,0.0,0.359,0.0,0.8068,0.0,0.0573,0.0238,1.0,0.0
syn_3c_imbalance_90,K-Means,0.0,0.359,0.0,0.8068,0.0,0.0306,0.0278,1.0,0.0
wine,BKM,0.0,0.9999,0.0,0.2775,0.0019,0.0045,0.0011,0.7858,0.0144
wine,ER-K-Means,0.5,0.994,0.0014,0.283,0.0022,0.0053,0.0012,0.8745,0.0281
wine,ER-K-Means,1.0,0.994,0.0014,0.283,0.0022,0.0048,0.0012,0.8745,0.0281
wine,ER-K-Means,2.0,0.994,0.0014,0.283,0.0022,0.0046,0.0011,0.8745,0.0281
wine,GMM-Dirichlet,0.0,0.98,0.0,0.2701,0.0,0.065,0.0114,0.8619,0.0
wine,K-Means,0.0,0.9952,0.0001,0.2849,0.0002,0.009,0.0015,0.8981,0.0032
